epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,1741.51,1.11593,0.5925,0.89312,0.90371,0.76962,0.83109,0.54818,1.01355,0.49794,0.86268,0.000121099,0.000121099,0.000121099
182,1751.25,1.11514,0.59381,0.89094,0.90885,0.76444,0.83111,0.54938,1.01424,0.49883,0.86255,0.0001156,0.0001156,0.0001156
183,1760.98,1.12498,0.5942,0.89573,0.92436,0.76495,0.83543,0.54998,1.01432,0.49788,0.86243,0.0001101,0.0001101,0.0001101
184,1770.59,1.11649,0.5897,0.89063,0.92238,0.76702,0.83577,0.55139,1.0135,0.49801,0.86208,0.000104601,0.000104601,0.000104601
185,1780.32,1.09537,0.58746,0.88932,0.94051,0.7613,0.83731,0.5517,1.01317,0.49779,0.8619,9.91012e-05,9.91012e-05,9.91012e-05
186,1789.94,1.09919,0.58733,0.89514,0.95301,0.75969,0.83917,0.55269,1.01352,0.49713,0.86203,9.36017e-05,9.36017e-05,9.36017e-05
187,1799.67,1.09751,0.5839,0.89347,0.94968,0.76209,0.84088,0.55202,1.01116,0.49558,0.8618,8.81023e-05,8.81023e-05,8.81023e-05
188,1809.41,1.10649,0.59057,0.89203,0.94602,0.75923,0.83792,0.55326,1.01039,0.49576,0.86195,8.26028e-05,8.26028e-05,8.26028e-05
189,1819.24,1.09944,0.58684,0.89248,0.95103,0.76124,0.8383,0.55348,1.01094,0.49529,0.86205,7.71034e-05,7.71034e-05,7.71034e-05
190,1828.95,1.11682,0.5959,0.89355,0.87859,0.78854,0.84039,0.55416,1.01046,0.4949,0.86162,7.1604e-05,7.1604e-05,7.1604e-05
191,1839.34,1.01976,0.51916,0.85411,0.91318,0.77812,0.83381,0.54849,1.01252,0.49852,0.86264,6.61045e-05,6.61045e-05,6.61045e-05
192,1849.07,1.02202,0.50687,0.85485,0.89683,0.78248,0.83291,0.5486,1.01379,0.50074,0.8629,6.06051e-05,6.06051e-05,6.06051e-05
193,1858.67,1.00601,0.50461,0.85406,0.91611,0.77945,0.83417,0.54753,1.01634,0.50089,0.86345,5.51056e-05,5.51056e-05,5.51056e-05
194,1868.53,1.01548,0.50296,0.85375,0.91921,0.78185,0.83637,0.54846,1.01722,0.50059,0.86343,4.96062e-05,4.96062e-05,4.96062e-05
195,1878.37,1.0092,0.50053,0.85417,0.91395,0.7829,0.83549,0.54945,1.01767,0.50071,0.86338,4.41067e-05,4.41067e-05,4.41067e-05
196,1888.1,0.99948,0.49656,0.85148,0.90943,0.78019,0.83652,0.54893,1.01738,0.50004,0.86355,3.86073e-05,3.86073e-05,3.86073e-05
197,1898.13,1.00164,0.49663,0.85406,0.92753,0.77622,0.83626,0.55079,1.01595,0.4987,0.8633,3.31078e-05,3.31078e-05,3.31078e-05
198,1907.94,1.0012,0.49882,0.85209,0.92749,0.77507,0.83883,0.55084,1.01565,0.49786,0.86343,2.76084e-05,2.76084e-05,2.76084e-05
199,1917.69,0.9983,0.49684,0.85168,0.92825,0.77281,0.83887,0.55134,1.01448,0.49697,0.86333,2.21089e-05,2.21089e-05,2.21089e-05
200,1927.24,1.00513,0.49354,0.84832,0.92834,0.77329,0.83979,0.55201,1.01384,0.49635,0.86318,1.66095e-05,1.66095e-05,1.66095e-05
