epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,404.457,1.33413,0.77063,0.92435,0.8538,0.74664,0.7893,0.4862,1.18114,0.6241,0.88953,0.000885523,0.000885523,0.000885523
43,414.075,1.31265,0.76023,0.92478,0.79341,0.74488,0.78407,0.4898,1.17204,0.62309,0.88953,0.000880023,0.000880023,0.000880023
44,423.583,1.29671,0.75455,0.92203,0.87158,0.72147,0.79172,0.49197,1.17011,0.62499,0.89041,0.000874524,0.000874524,0.000874524
45,433.118,1.3211,0.76617,0.92986,0.86398,0.72216,0.7873,0.47897,1.18807,0.63414,0.88955,0.000869024,0.000869024,0.000869024
46,442.706,1.31855,0.7608,0.92735,0.88682,0.71523,0.78121,0.48068,1.16591,0.63545,0.88383,0.000863525,0.000863525,0.000863525
47,452.152,1.30895,0.75958,0.92402,0.84113,0.71834,0.78154,0.47945,1.19877,0.63266,0.89127,0.000858025,0.000858025,0.000858025
48,461.541,1.31153,0.76291,0.92393,0.85963,0.75058,0.79852,0.49376,1.16807,0.61399,0.88484,0.000852526,0.000852526,0.000852526
49,471.034,1.31343,0.75183,0.93071,0.8463,0.7654,0.80609,0.4985,1.16485,0.60643,0.88556,0.000847026,0.000847026,0.000847026
50,480.6,1.29499,0.75314,0.9273,0.86722,0.73198,0.79316,0.48242,1.20163,0.63152,0.89146,0.000841527,0.000841527,0.000841527
51,490.187,1.29653,0.76092,0.92214,0.89502,0.73345,0.79198,0.48853,1.1607,0.61926,0.88831,0.000836027,0.000836027,0.000836027
52,499.759,1.29032,0.73498,0.91954,0.92337,0.72431,0.79804,0.48421,1.16635,0.61629,0.88451,0.000830528,0.000830528,0.000830528
53,509.25,1.28604,0.7331,0.91834,0.92059,0.72874,0.7956,0.49076,1.16591,0.62135,0.88548,0.000825029,0.000825029,0.000825029
